Participant,Trial,Self,OtherConfidence,Others,ChoiceRed,correct,RT
104,28,0.37492984096447346,0.99999,0.9999,0,0,1628
104,32,0.12492984096447346,0.99999,0.5,0,1,849
104,34,0.24992984096447346,0.5,0.9999,0,0,629
104,40,0.49992984096447346,0.5,0.5,1,0,1290
104,43,0.24992984096447346,0.99999,0.25,0,0,733
104,44,0.37492984096447346,0.5,0.75,0,1,804
104,50,0.7499298409644735,0.5,0.9999,1,1,951
104,51,0.6249298409644735,0.99999,0.9999,1,1,1037
104,52,0.8749298409644735,0.99999,0.9999,1,1,839
104,53,0.8749298409644735,0.5,0.9999,1,1,638
104,55,0.37492984096447346,0.99999,0.9999,0,0,554
104,56,0.12492984096447346,0.5,0.9999,0,1,864
104,59,0.6249298409644735,0.5,0.9999,1,0,868
104,60,0.12492984096447346,0.99999,0.9999,0,0,329
104,62,0.24992984096447346,0.99999,0.9999,0,0,9097
104,66,0.6249298409644735,0.99999,0.9999,1,1,3273
104,67,0.7499298409644735,0.5,0.75,1,1,4102
104,68,0.37492984096447346,0.99999,0.75,0,0,4281
104,70,0.24992984096447346,0.99999,0.75,0,0,2673
104,71,0.8749298409644735,0.5,0.5,1,0,1066
104,75,0.6249298409644735,0.99999,0.5,1,0,1394
104,80,0.49992984096447346,0.99999,0.9999,0,0,1578
104,89,0.7499298409644735,0.99999,0.9999,1,1,1944
104,90,0.49992984096447346,0.99999,0.5,0,0,1311
104,91,0.37492984096447346,0.5,0.9999,0,0,1544
104,93,0.8749298409644735,0.99999,0.9999,1,1,686
104,99,0.24992984096447346,0.5,0.75,0,1,1024
104,103,0.24992984096447346,0.99999,0.5,0,1,945
104,105,0.12492984096447346,0.99999,0.5,0,1,621
105,1,0.37492984096447346,0.99999,0.5,0,0,2653
105,2,0.37492984096447346,0.5,0.25,0,1,1770
105,6,0.7499298409644735,0,1e-4,1,1,1286
105,7,0.8749298409644735,0.5,0.75,1,1,1060
105,8,0.24992984096447346,0.5,0.5,0,1,1217
105,10,0.37492984096447346,0,1e-4,0,0,1151
105,11,0.7499298409644735,0.5,0.5,1,0,948
105,14,0.24992984096447346,0.99999,0.25,0,0,1015
105,15,0.12492984096447346,0,1e-4,0,1,804
105,16,0.24992984096447346,0,1e-4,0,0,575
105,18,0.49992984096447346,0.99999,0.75,1,1,3916
105,20,0.49992984096447346,0.5,0.5,1,0,3053
105,21,0.8749298409644735,0.5,0.75,1,1,762
105,22,0.12492984096447346,0.99999,0.5,0,1,880
105,23,0.7499298409644735,0.99999,0.75,1,1,1030
105,25,0.12492984096447346,0.5,0.25,0,1,817
105,27,0.49992984096447346,0.5,0.5,0,0,3638
105,28,0.37492984096447346,0.5,0.75,0,0,1117
105,29,0.7499298409644735,0.5,0.5,1,1,1426
105,31,0.49992984096447346,0,1e-4,0,1,2265
105,33,0.8749298409644735,0.5,0.25,1,0,897
105,34,0.24992984096447346,0.5,0.5,0,0,1034
105,35,0.8749298409644735,0.5,0.25,1,1,4652
105,37,0.6249298409644735,0,1e-4,1,0,2896
105,38,0.12492984096447346,0.5,0.25,0,0,1856
105,39,0.8749298409644735,0,1e-4,1,0,981
105,41,0.24992984096447346,0,1e-4,0,0,1100
105,45,0.6249298409644735,0.5,0.75,1,1,1404
105,48,0.49992984096447346,0,1e-4,0,1,3626
105,50,0.49992984096447346,0.99999,0.25,0,1,2470
105,51,0.7499298409644735,0,1e-4,1,0,1801
105,54,0.7499298409644735,0.99999,0.25,1,1,2593
105,55,0.6249298409644735,0,1e-4,1,0,5329
105,56,0.8749298409644735,0.99999,0.25,1,1,1176
105,58,0.12492984096447346,0.5,0.5,0,1,2480
105,59,0.8749298409644735,0.5,0.5,1,0,1712
105,60,0.7499298409644735,0.99999,0.75,1,1,1425
105,64,0.37492984096447346,0,1e-4,0,1,958
105,65,0.8749298409644735,0,1e-4,1,0,706
105,66,0.24992984096447346,0.99999,0.25,0,0,1294
105,70,0.7499298409644735,0.99999,0.5,1,0,1494
105,71,0.49992984096447346,0,1e-4,0,1,2110
