RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
0,0.125,3898.5,1,103,2620,36,0,0,0,0,1765,1860,2342,2039,1,1,1,1,1,1,1,103,-0.9135313531353135
0,0.25,3898.5,1,103,3662,30,1,1,1,1,2428,1789,2497,2087,1,1,1,1,1,1,1,103,-0.8791419141914192
1,0.875,3898.5,1,103,4712,84,0,0,0,1,1750,2113,2227,1668,1,1,1,1,1,1,1,103,0.8444884488448845
0,0.5,3898.5,1,103,8449,74,0,0,0,0,1695,2453,1728,1676,1,1,1,1,1,1,1,103,-0.7211551155115512
1,0.375,3898.5,1,103,8232,94,1,1,1,0,1815,2225,2187,2498,1,1,1,1,0,1,1,103,0.7283168316831683
1,0.5,3898.5,1,103,3157,60,1,1,1,0,377,57,469,1697,0.5,0.5,0.5,1,1,0.5,1,103,0.8958085808580858
1,0.625,3898.5,1,103,3982,68,1,1,1,1,290,752,84,594,0.5,0.5,0.5,0.5,1,0.5,1,103,0.8685808580858085
1,0.5,3898.5,1,103,7673,88,1,1,0,0,1668,2276,2447,2021,1,1,1,1,0,1,1,103,0.7467656765676567
1,0.375,3898.5,1,103,2004,66,1,1,1,1,509,401,269,534,0.5,0.5,0.5,0.5,1,0.5,1,103,0.9338613861386138
1,0.75,3898.5,1,103,1690,34,1,1,1,1,1832,2497,2396,2210,1,1,1,1,1,1,1,103,0.9442244224422442
1,0.75,3898.5,1,103,3e4,6,0,0,0,0,707,4,156,519,0.5,0.5,0.5,0.5,1,1,0.5,103,0.00990099009900991
0,0.375,3898.5,1,103,6017,38,0,0,0,0,2058,1918,2335,2178,1,1,1,1,1,1,1,103,-0.8014191419141914
1,0.75,3898.5,1,103,7317,90,1,1,0,0,2351,1711,2279,2352,1,1,1,1,0,1,1,103,0.7585148514851485
0,0.25,3898.5,1,103,2634,72,0,0,0,0,1781,2174,2481,2268,1,1,1,1,1,1,1,103,-0.9130693069306931
0,0.5,3898.5,1,103,3539,18,0,0,1,1,181,780,2185,2425,0.5,0.5,1,1,0,1,0.5,103,-0.8832013201320132
1,0.75,3898.5,1,103,8547,76,0,0,0,0,2176,2490,2115,2057,1,1,1,1,1,1,1,103,0.7179207920792079
1,0.5,3898.5,1,103,12335,102,1,1,1,1,2465,2099,1762,2235,1,1,1,1,1,1,1,103,0.5929042904290429
0,0.125,3898.5,1,103,2746,92,1,1,0,1,1922,1716,2447,1760,1,1,1,1,1,1,1,103,-0.9093729372937294
0,0.125,3898.5,1,103,5747,22,1,0,1,1,1922,501,2411,2030,1,0.5,1,1,1,1,0.5,103,-0.8103300330033003
0,0.5,3898.5,1,103,7252,46,0,0,0,1,2097,2221,2480,703,1,1,1,0.5,0,0.5,1,103,-0.7606600660066006
1,0.75,3898.5,1,103,4976,48,0,1,0,0,2266,798,2170,1914,1,0.5,1,1,0,0.5,1,103,0.8357755775577558
0,0.125,3898.5,1,103,3947,50,0,1,0,1,2358,268,2012,789,1,0.5,1,0.5,1,0.5,1,103,-0.8697359735973598
1,0.5,3898.5,1,103,3e4,32,1,1,1,1,2107,1934,1916,1951,1,1,1,1,1,1,1,103,0.00990099009900991
0,0.375,3898.5,1,103,3e4,80,1,0,0,0,2149,2040,2430,2125,1,1,1,1,1,1,1,103,-0.00990099009900991
1,0.25,3898.5,1,103,23081,100,1,1,1,1,1927,2318,1730,2226,1,1,1,1,0,1,1,103,0.2382508250825084
1,0.875,3898.5,1,103,21901,98,1,1,0,1,1805,1690,2090,2309,1,1,1,1,0,1,1,103,0.27719471947194707
1,0.875,3898.5,1,103,3854,14,0,1,0,0,363,2103,625,580,0.5,1,0.5,0.5,0,1,0.5,103,0.8728052805280528
1,0.75,3898.5,1,103,8542,20,0,1,1,0,547,2389,2021,529,0.5,1,1,0.5,1,1,0.5,103,0.7180858085808581
1,0.75,3898.5,1,103,16112,104,1,1,1,1,1730,1919,2282,2257,1,1,1,1,1,1,1,103,0.46825082508250837
1,0.875,3898.5,1,103,15083,70,1,1,1,1,320,169,156,343,0.5,0.5,0.5,0.5,0,0.5,1,103,0.5022112211221121
1,0.875,3898.5,1,103,3222,56,0,1,1,0,2112,249,517,1784,1,0.5,0.5,1,1,0.5,1,103,0.8936633663366336
0,0.5,3898.5,1,103,6243,25,0,1,1,1,3,1797,2455,1778,0.5,1,1,1,0,1,0.5,103,-0.793960396039604
1,0.75,3898.5,1,103,12159,83,0,0,0,1,365,462,733,412,0.5,0.5,0.5,0.5,1,0.5,0.5,103,0.5987128712871286
0,0.25,3898.5,1,103,3e4,9,1,0,0,0,2119,352,654,21,1,0.5,0.5,0.5,0,1,0.5,103,-0.00990099009900991
0,0.75,3898.5,1,103,4434,41,0,0,0,0,2346,2360,2371,2102,1,1,1,1,1,1,1,103,-0.8536633663366336
0,0.5,3898.5,1,103,1384,81,0,0,0,1,285,676,497,774,0.5,0.5,0.5,0.5,1,0.5,0.5,103,-0.9543234323432344
0,0.625,3898.5,1,103,2508,47,0,0,1,0,1917,1929,211,2210,1,1,0.5,1,1,0.5,1,103,-0.9172277227722773
0,0.5,3898.5,1,103,1826,11,1,0,0,0,2281,80,754,752,1,0.5,0.5,0.5,1,1,0.5,103,-0.9397359735973597
0,0.625,3898.5,1,103,1613,75,0,0,0,0,734,431,576,802,0.5,0.5,0.5,0.5,1,1,0.5,103,-0.9467656765676568
1,0.875,3898.5,1,103,2392,91,1,0,1,0,238,219,102,599,0.5,0.5,0.5,0.5,1,0.5,0.5,103,0.9210561056105611
1,0.625,3898.5,1,103,1864,5,0,0,0,0,346,605,111,20,0.5,0.5,0.5,0.5,0,1,0.5,103,0.9384818481848185
0,0.125,3898.5,1,103,9652,1,0,0,0,0,688,537,126,596,0.5,0.5,0.5,0.5,0,1,0.5,103,-0.6814521452145215
0,0.25,3898.5,1,103,1365,79,0,0,0,1,382,34,137,25,0.5,0.5,0.5,0.5,1,0.5,0.5,103,-0.9549504950495049
0,0.25,3898.5,1,103,4996,93,0,1,1,1,215,632,583,645,0.5,0.5,0.5,0.5,1,0.5,0.5,103,-0.8351155115511552
1,0.875,3898.5,1,103,11658,7,0,0,0,0,346,198,216,273,0.5,0.5,0.5,0.5,1,1,0.5,103,0.6152475247524753
1,0.875,3898.5,1,103,4123,49,0,1,0,0,1803,353,1882,2406,1,0.5,1,1,1,0.5,1,103,0.8639273927392739
